// Red Pouch of Surprise Summonable Monsters Database
//
// Structure of Database:
// MobRandomGroupID,MobID,DummyName,Rate

MOBG_Red_Pouch_Of_Surprise,0,Poring,1002
MOBG_Red_Pouch_Of_Surprise,1001,蠍子,214285
MOBG_Red_Pouch_Of_Surprise,1002,波利,1000000
MOBG_Red_Pouch_Of_Surprise,1004,蜂兵,357142
MOBG_Red_Pouch_Of_Surprise,1005,吸血蝙蝠,357142
MOBG_Red_Pouch_Of_Surprise,1007,綠棉蟲,428571
MOBG_Red_Pouch_Of_Surprise,1008,蟲蛹,71428
MOBG_Red_Pouch_Of_Surprise,1009,禿鷹,357142
MOBG_Red_Pouch_Of_Surprise,1010,樹精,357142
MOBG_Red_Pouch_Of_Surprise,1011,蒼蠅,357142
MOBG_Red_Pouch_Of_Surprise,1012,羅達蛙,357142
MOBG_Red_Pouch_Of_Surprise,1013,狼,357142
MOBG_Red_Pouch_Of_Surprise,1014,魔菇,357142
MOBG_Red_Pouch_Of_Surprise,1015,腐屍,357142
MOBG_Red_Pouch_Of_Surprise,1016,邪骸弓箭手,214285
MOBG_Red_Pouch_Of_Surprise,1018,克瑞米,357142
MOBG_Red_Pouch_Of_Surprise,1019,大嘴鳥,357142
MOBG_Red_Pouch_Of_Surprise,1020,曼陀羅魔花,357142
MOBG_Red_Pouch_Of_Surprise,1023,獸人戰士,214285
MOBG_Red_Pouch_Of_Surprise,1024,森靈,357142
MOBG_Red_Pouch_Of_Surprise,1025,青蛇,357142
MOBG_Red_Pouch_Of_Surprise,1026,殭屍,214285
MOBG_Red_Pouch_Of_Surprise,1028,邪骸士兵,214285
MOBG_Red_Pouch_Of_Surprise,1029,蛇女伊絲,71428
MOBG_Red_Pouch_Of_Surprise,1030,毒蛇,214285
MOBG_Red_Pouch_Of_Surprise,1031,波波利,357142
MOBG_Red_Pouch_Of_Surprise,1032,木乃伊犬,214285
MOBG_Red_Pouch_Of_Surprise,1033,長老樹精,214285
MOBG_Red_Pouch_Of_Surprise,1034,達拉蛙,214285
MOBG_Red_Pouch_Of_Surprise,1035,赤蒼蠅,71428
MOBG_Red_Pouch_Of_Surprise,1036,綠腐屍,214285
MOBG_Red_Pouch_Of_Surprise,1037,黑蛇,71428
MOBG_Red_Pouch_Of_Surprise,1040,巨石怪,214285
MOBG_Red_Pouch_Of_Surprise,1041,木乃伊,214285
MOBG_Red_Pouch_Of_Surprise,1042,綠蒼蠅,357142
MOBG_Red_Pouch_Of_Surprise,1044,人魚,214285
MOBG_Red_Pouch_Of_Surprise,1045,馬克,214285
MOBG_Red_Pouch_Of_Surprise,1047,大嘴鳥蛋,71428
MOBG_Red_Pouch_Of_Surprise,1048,盜蟲卵,71428
MOBG_Red_Pouch_Of_Surprise,1049,小雞,357142
MOBG_Red_Pouch_Of_Surprise,1050,蛋殼小雞,357142
MOBG_Red_Pouch_Of_Surprise,1051,盜蟲,357142
MOBG_Red_Pouch_Of_Surprise,1052,搖滾蝗蟲,357142
MOBG_Red_Pouch_Of_Surprise,1053,浮勒盜蟲,357142
MOBG_Red_Pouch_Of_Surprise,1054,瑪勒盜蟲,357142
MOBG_Red_Pouch_Of_Surprise,1055,摩卡,357142
MOBG_Red_Pouch_Of_Surprise,1056,貍貓,357142
MOBG_Red_Pouch_Of_Surprise,1057,溜溜猴,357142
MOBG_Red_Pouch_Of_Surprise,1058,重金屬蝗蟲,214285
MOBG_Red_Pouch_Of_Surprise,1060,大腳熊,214285
MOBG_Red_Pouch_Of_Surprise,1061,夢魘,71428
MOBG_Red_Pouch_Of_Surprise,1062,聖誕波利,357142
MOBG_Red_Pouch_Of_Surprise,1063,瘋兔,357142
MOBG_Red_Pouch_Of_Surprise,1064,邪骸食人魚,214285
MOBG_Red_Pouch_Of_Surprise,1065,海神,214285
MOBG_Red_Pouch_Of_Surprise,1066,螃蟹,357142
MOBG_Red_Pouch_Of_Surprise,1067,卡那多斯,214285
MOBG_Red_Pouch_Of_Surprise,1068,海葵,357142
MOBG_Red_Pouch_Of_Surprise,1069,異變魚,214285
MOBG_Red_Pouch_Of_Surprise,1070,庫克雷,357142
MOBG_Red_Pouch_Of_Surprise,1071,邪骸海盜,214285
MOBG_Red_Pouch_Of_Surprise,1072,卡浩,71428
MOBG_Red_Pouch_Of_Surprise,1073,卡拉蟹,214285
MOBG_Red_Pouch_Of_Surprise,1074,貝殼魔靈,357142
MOBG_Red_Pouch_Of_Surprise,1076,邪骸戰士,357142
MOBG_Red_Pouch_Of_Surprise,1077,毒魔菇,357142
MOBG_Red_Pouch_Of_Surprise,1078,紅草,71428
MOBG_Red_Pouch_Of_Surprise,1079,藍草,71428
MOBG_Red_Pouch_Of_Surprise,1080,綠草,71428
MOBG_Red_Pouch_Of_Surprise,1081,黃草,71428
MOBG_Red_Pouch_Of_Surprise,1082,白草,71428
MOBG_Red_Pouch_Of_Surprise,1083,光芒草,71428
MOBG_Red_Pouch_Of_Surprise,1084,黑菇,71428
MOBG_Red_Pouch_Of_Surprise,1085,紅菇,71428
MOBG_Red_Pouch_Of_Surprise,1088,蝗蟲之王,71428
MOBG_Red_Pouch_Of_Surprise,1089,蛙王,71428
MOBG_Red_Pouch_Of_Surprise,1090,波利之王,71428
MOBG_Red_Pouch_Of_Surprise,1091,龍蠅,71428
MOBG_Red_Pouch_Of_Surprise,1092,流浪之狼,71428
MOBG_Red_Pouch_Of_Surprise,1093,藍瘋兔,71428
MOBG_Red_Pouch_Of_Surprise,1094,蝸牛,357142
MOBG_Red_Pouch_Of_Surprise,1095,白蟻,357142
MOBG_Red_Pouch_Of_Surprise,1096,天使波利,71428
MOBG_Red_Pouch_Of_Surprise,1097,白蟻幼蟲,71428
MOBG_Red_Pouch_Of_Surprise,1099,艾吉歐蜈蚣,71428
MOBG_Red_Pouch_Of_Surprise,1100,艾斯蜘蛛,214285
MOBG_Red_Pouch_Of_Surprise,1101,小巴風特,71428
MOBG_Red_Pouch_Of_Surprise,1102,巫婆,71428
MOBG_Red_Pouch_Of_Surprise,1103,刺蝟蟲,214285
MOBG_Red_Pouch_Of_Surprise,1104,松鼠,357142
MOBG_Red_Pouch_Of_Surprise,1105,兵蟻,357142
MOBG_Red_Pouch_Of_Surprise,1106,沙漠之狼,214285
MOBG_Red_Pouch_Of_Surprise,1107,沙漠幼狼,71428
MOBG_Red_Pouch_Of_Surprise,1108,狄奧斯,71428
MOBG_Red_Pouch_Of_Surprise,1109,小惡魔,71428
MOBG_Red_Pouch_Of_Surprise,1110,土人,214285
MOBG_Red_Pouch_Of_Surprise,1111,紅蝙蝠,214285
MOBG_Red_Pouch_Of_Surprise,1113,土波利,357142
MOBG_Red_Pouch_Of_Surprise,1114,獵蠅,214285
MOBG_Red_Pouch_Of_Surprise,1116,轉轉蛋,214285
MOBG_Red_Pouch_Of_Surprise,1117,闇神官,71428
MOBG_Red_Pouch_Of_Surprise,1118,噬人花,214285
MOBG_Red_Pouch_Of_Surprise,1119,傘蜥,214285
MOBG_Red_Pouch_Of_Surprise,1120,幽靈波利,71428
MOBG_Red_Pouch_Of_Surprise,1121,基爾瑟,214285
MOBG_Red_Pouch_Of_Surprise,1122,刺刀哥布靈,214285
MOBG_Red_Pouch_Of_Surprise,1123,鏈錘哥布靈,214285
MOBG_Red_Pouch_Of_Surprise,1124,大斧哥布靈,214285
MOBG_Red_Pouch_Of_Surprise,1125,榔頭哥布靈,214285
MOBG_Red_Pouch_Of_Surprise,1126,刺錘哥布靈,214285
MOBG_Red_Pouch_Of_Surprise,1127,蚯蚓,214285
MOBG_Red_Pouch_Of_Surprise,1128,鍬形蟲,357142
MOBG_Red_Pouch_Of_Surprise,1129,鬼火,214285
MOBG_Red_Pouch_Of_Surprise,1130,南瓜先生,214285
MOBG_Red_Pouch_Of_Surprise,1131,裘卡,71428
MOBG_Red_Pouch_Of_Surprise,1132,卡利斯格,71428
MOBG_Red_Pouch_Of_Surprise,1133,大斧犬妖,214285
MOBG_Red_Pouch_Of_Surprise,1134,榔頭犬妖,214285
MOBG_Red_Pouch_Of_Surprise,1135,刺錘犬妖,214285
MOBG_Red_Pouch_Of_Surprise,1138,魔鍋蛋,214285
MOBG_Red_Pouch_Of_Surprise,1139,螳螂,214285
MOBG_Red_Pouch_Of_Surprise,1140,馬爾杜克,214285
MOBG_Red_Pouch_Of_Surprise,1141,水母,214285
MOBG_Red_Pouch_Of_Surprise,1142,氣泡蟲,214285
MOBG_Red_Pouch_Of_Surprise,1143,傀儡娃娃,71428
MOBG_Red_Pouch_Of_Surprise,1144,烏賊,214285
MOBG_Red_Pouch_Of_Surprise,1145,土撥鼠,357142
MOBG_Red_Pouch_Of_Surprise,1146,黑狐,214285
